[I 2026-04-08 02:34:11,600] Trial 32 finished with value: -1.0 and parameters: {'num_leaves': 24, 'learning_rate': 0.0484278760826842, 'feature_fraction': 0.9961938267623994, 'min_data_in_leaf': 37, 'atr_multiplier': 7.9730686214806745}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:13,575] Trial 33 finished with value: -1.0 and parameters: {'num_leaves': 38, 'learning_rate': 0.06637052789482512, 'feature_fraction': 0.9379654010244001, 'min_data_in_leaf': 26, 'atr_multiplier': 7.2952923690793}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:15,731] Trial 34 finished with value: -1.0 and parameters: {'num_leaves': 30, 'learning_rate': 0.07153505559787068, 'feature_fraction': 0.9605733824059094, 'min_data_in_leaf': 21, 'atr_multiplier': 10.431640276196442}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:17,829] Trial 35 finished with value: -1.0 and parameters: {'num_leaves': 46, 'learning_rate': 0.0527694083232112, 'feature_fraction': 0.8906008802114987, 'min_data_in_leaf': 68, 'atr_multiplier': 8.500330535374259}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:20,017] Trial 36 finished with value: -1.0 and parameters: {'num_leaves': 62, 'learning_rate': 0.059443415363256986, 'feature_fraction': 0.8533348421462899, 'min_data_in_leaf': 79, 'atr_multiplier': 9.216806067211051}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:22,097] Trial 37 finished with value: -1.0 and parameters: {'num_leaves': 35, 'learning_rate': 0.015794801689335794, 'feature_fraction': 0.5146568732250975, 'min_data_in_leaf': 20, 'atr_multiplier': 7.639305463324877}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:24,140] Trial 38 finished with value: -1.0 and parameters: {'num_leaves': 54, 'learning_rate': 0.03317272531026158, 'feature_fraction': 0.9743031632458987, 'min_data_in_leaf': 44, 'atr_multiplier': 6.824550244689647}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:26,288] Trial 39 finished with value: -1.0 and parameters: {'num_leaves': 57, 'learning_rate': 0.0244511032322898, 'feature_fraction': 0.5702262122558084, 'min_data_in_leaf': 59, 'atr_multiplier': 7.972329995805482}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:26,301] A new study created in memory with name: no-name-20c09378-61b4-46be-9884-02130792c00a
[I 2026-04-08 02:34:28,545] Trial 0 finished with value: -1.0 and parameters: {'num_leaves': 40, 'learning_rate': 0.024542373724445225, 'feature_fraction': 0.7566700613929433, 'min_data_in_leaf': 26, 'atr_multiplier': 9.579746374423983}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:30,875] Trial 1 finished with value: -1.0 and parameters: {'num_leaves': 37, 'learning_rate': 0.06764617562178919, 'feature_fraction': 0.5168686743746536, 'min_data_in_leaf': 73, 'atr_multiplier': 9.17618965841163}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:33,241] Trial 2 finished with value: -1.0 and parameters: {'num_leaves': 39, 'learning_rate': 0.049777577420956204, 'feature_fraction': 0.6457813054713226, 'min_data_in_leaf': 86, 'atr_multiplier': 13.729779852963674}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:35,302] Trial 3 finished with value: -1.0 and parameters: {'num_leaves': 14, 'learning_rate': 0.05226670747636946, 'feature_fraction': 0.5624993696214896, 'min_data_in_leaf': 58, 'atr_multiplier': 9.662570286528222}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:37,549] Trial 4 finished with value: -1.0 and parameters: {'num_leaves': 35, 'learning_rate': 0.038923376128493184, 'feature_fraction': 0.5544136267832205, 'min_data_in_leaf': 30, 'atr_multiplier': 13.254696910646217}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:39,807] Trial 5 finished with value: -1.0 and parameters: {'num_leaves': 34, 'learning_rate': 0.0603274180326857, 'feature_fraction': 0.5832992771688565, 'min_data_in_leaf': 81, 'atr_multiplier': 13.9194569648051}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:41,761] Trial 6 finished with value: -1.0 and parameters: {'num_leaves': 15, 'learning_rate': 0.09998312850995465, 'feature_fraction': 0.9387200062966026, 'min_data_in_leaf': 63, 'atr_multiplier': 7.891804073219525}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:43,946] Trial 7 finished with value: -1.0 and parameters: {'num_leaves': 20, 'learning_rate': 0.013062866663331627, 'feature_fraction': 0.8059112062338094, 'min_data_in_leaf': 93, 'atr_multiplier': 10.666448697572008}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:46,054] Trial 8 finished with value: -1.0 and parameters: {'num_leaves': 36, 'learning_rate': 0.024372881641602645, 'feature_fraction': 0.8719520745060454, 'min_data_in_leaf': 88, 'atr_multiplier': 8.710060691482735}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:48,331] Trial 9 finished with value: -1.0 and parameters: {'num_leaves': 19, 'learning_rate': 0.08289608684899495, 'feature_fraction': 0.7928442633855683, 'min_data_in_leaf': 73, 'atr_multiplier': 14.898745561957947}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:50,606] Trial 10 finished with value: -1.0 and parameters: {'num_leaves': 55, 'learning_rate': 0.02986896948670098, 'feature_fraction': 0.6762067419680353, 'min_data_in_leaf': 20, 'atr_multiplier': 11.570556992490383}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:52,525] Trial 11 finished with value: -1.0 and parameters: {'num_leaves': 48, 'learning_rate': 0.07179030980035192, 'feature_fraction': 0.7047477227840943, 'min_data_in_leaf': 44, 'atr_multiplier': 6.117385628574013}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:54,642] Trial 12 finished with value: -1.0 and parameters: {'num_leaves': 61, 'learning_rate': 0.06795457145973899, 'feature_fraction': 0.5108863647491595, 'min_data_in_leaf': 45, 'atr_multiplier': 7.510408589911865}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:56,962] Trial 13 finished with value: -1.0 and parameters: {'num_leaves': 46, 'learning_rate': 0.08492392050954382, 'feature_fraction': 0.7624620819395836, 'min_data_in_leaf': 68, 'atr_multiplier': 11.563922285344733}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:34:59,199] Trial 14 finished with value: -1.0 and parameters: {'num_leaves': 27, 'learning_rate': 0.010859403607567, 'feature_fraction': 0.8600974590824336, 'min_data_in_leaf': 50, 'atr_multiplier': 9.747256551114614}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:01,477] Trial 15 finished with value: -1.0 and parameters: {'num_leaves': 45, 'learning_rate': 0.040429177010750834, 'feature_fraction': 0.63774002129042, 'min_data_in_leaf': 34, 'atr_multiplier': 8.61206981094465}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:03,421] Trial 16 finished with value: -1.0 and parameters: {'num_leaves': 25, 'learning_rate': 0.07694391895668007, 'feature_fraction': 0.7057839543825141, 'min_data_in_leaf': 100, 'atr_multiplier': 6.271330253408632}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:05,688] Trial 17 finished with value: -1.0 and parameters: {'num_leaves': 53, 'learning_rate': 0.06243392503034377, 'feature_fraction': 0.9576187697273467, 'min_data_in_leaf': 75, 'atr_multiplier': 11.07890382244009}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:07,838] Trial 18 finished with value: -1.0 and parameters: {'num_leaves': 29, 'learning_rate': 0.042114426155407114, 'feature_fraction': 0.7397608800334593, 'min_data_in_leaf': 57, 'atr_multiplier': 9.88843569975369}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:10,007] Trial 19 finished with value: -1.0 and parameters: {'num_leaves': 8, 'learning_rate': 0.02635517492484271, 'feature_fraction': 0.8721494253676213, 'min_data_in_leaf': 20, 'atr_multiplier': 12.237523663616301}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:12,190] Trial 20 finished with value: -1.0 and parameters: {'num_leaves': 41, 'learning_rate': 0.09976331144308367, 'feature_fraction': 0.6174819320353252, 'min_data_in_leaf': 31, 'atr_multiplier': 8.804894338765811}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:14,616] Trial 21 finished with value: -1.0 and parameters: {'num_leaves': 41, 'learning_rate': 0.049273227365893485, 'feature_fraction': 0.5115972207237893, 'min_data_in_leaf': 83, 'atr_multiplier': 12.265683210583767}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:16,827] Trial 22 finished with value: -1.0 and parameters: {'num_leaves': 40, 'learning_rate': 0.019294529348032625, 'feature_fraction': 0.6422328929221499, 'min_data_in_leaf': 78, 'atr_multiplier': 10.187581279702105}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:18,835] Trial 23 finished with value: -1.0 and parameters: {'num_leaves': 30, 'learning_rate': 0.033653593465528736, 'feature_fraction': 0.5933077671336875, 'min_data_in_leaf': 68, 'atr_multiplier': 7.307213008849676}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:21,247] Trial 24 finished with value: -1.0 and parameters: {'num_leaves': 52, 'learning_rate': 0.05775250169363779, 'feature_fraction': 0.6846172073706573, 'min_data_in_leaf': 94, 'atr_multiplier': 9.048015416638936}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:23,576] Trial 25 finished with value: -1.0 and parameters: {'num_leaves': 39, 'learning_rate': 0.06769661018235236, 'feature_fraction': 0.7409227745157532, 'min_data_in_leaf': 85, 'atr_multiplier': 13.40173772419108}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:25,715] Trial 26 finished with value: -1.0 and parameters: {'num_leaves': 33, 'learning_rate': 0.048379679668717916, 'feature_fraction': 0.5430297305771297, 'min_data_in_leaf': 69, 'atr_multiplier': 8.072969739746354}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:28,125] Trial 27 finished with value: -1.0 and parameters: {'num_leaves': 49, 'learning_rate': 0.04525159901990538, 'feature_fraction': 0.8175388783838833, 'min_data_in_leaf': 90, 'atr_multiplier': 14.755492261903443}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:30,414] Trial 28 finished with value: -1.0 and parameters: {'num_leaves': 23, 'learning_rate': 0.09044686454908549, 'feature_fraction': 0.6612547177213562, 'min_data_in_leaf': 53, 'atr_multiplier': 10.675819792255757}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:32,834] Trial 29 finished with value: -1.0 and parameters: {'num_leaves': 59, 'learning_rate': 0.05333851957829985, 'feature_fraction': 0.5885903347521222, 'min_data_in_leaf': 64, 'atr_multiplier': 9.404196632887484}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:35,142] Trial 30 finished with value: -1.0 and parameters: {'num_leaves': 32, 'learning_rate': 0.020504255047154203, 'feature_fraction': 0.5375537242667728, 'min_data_in_leaf': 38, 'atr_multiplier': 12.4705289832339}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:37,285] Trial 31 finished with value: -1.0 and parameters: {'num_leaves': 37, 'learning_rate': 0.05393520480770453, 'feature_fraction': 0.5657900663973999, 'min_data_in_leaf': 58, 'atr_multiplier': 9.455859054353109}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:39,553] Trial 32 finished with value: -1.0 and parameters: {'num_leaves': 43, 'learning_rate': 0.03570843445107111, 'feature_fraction': 0.5002454546715659, 'min_data_in_leaf': 27, 'atr_multiplier': 10.34142380543098}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:41,481] Trial 33 finished with value: -1.0 and parameters: {'num_leaves': 9, 'learning_rate': 0.06387666309419443, 'feature_fraction': 0.6141272005849427, 'min_data_in_leaf': 78, 'atr_multiplier': 7.006940030652654}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:43,534] Trial 34 finished with value: -1.0 and parameters: {'num_leaves': 14, 'learning_rate': 0.07614043942328994, 'feature_fraction': 0.561968554338496, 'min_data_in_leaf': 97, 'atr_multiplier': 7.971857656617891}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:45,777] Trial 35 finished with value: -1.0 and parameters: {'num_leaves': 37, 'learning_rate': 0.05671868383487464, 'feature_fraction': 0.5284188976410692, 'min_data_in_leaf': 87, 'atr_multiplier': 11.07581510603423}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:48,251] Trial 36 finished with value: -1.0 and parameters: {'num_leaves': 36, 'learning_rate': 0.05013107069185672, 'feature_fraction': 0.586336840568782, 'min_data_in_leaf': 80, 'atr_multiplier': 13.012404209633907}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:50,474] Trial 37 finished with value: -1.0 and parameters: {'num_leaves': 18, 'learning_rate': 0.03611036948060252, 'feature_fraction': 0.768205318321864, 'min_data_in_leaf': 73, 'atr_multiplier': 13.956223268158071}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:53,371] Trial 38 finished with value: -1.0 and parameters: {'num_leaves': 34, 'learning_rate': 0.061322283403811295, 'feature_fraction': 0.837046142841336, 'min_data_in_leaf': 62, 'atr_multiplier': 8.233333757446063}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:56,237] Trial 39 finished with value: -1.0 and parameters: {'num_leaves': 22, 'learning_rate': 0.04425132687391837, 'feature_fraction': 0.6229320414950845, 'min_data_in_leaf': 43, 'atr_multiplier': 9.293915428698481}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:35:56,247] A new study created in memory with name: no-name-66c98dc1-bcb8-427c-92cc-638470bd0979
[I 2026-04-08 02:35:58,482] Trial 0 finished with value: -1.0 and parameters: {'num_leaves': 16, 'learning_rate': 0.07459818273358634, 'feature_fraction': 0.9912254356384786, 'min_data_in_leaf': 93, 'atr_multiplier': 7.986502622914866}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:36:00,673] Trial 1 finished with value: -1.0 and parameters: {'num_leaves': 29, 'learning_rate': 0.02640928081678596, 'feature_fraction': 0.9715743335253377, 'min_data_in_leaf': 22, 'atr_multiplier': 7.936690440075204}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:36:02,663] Trial 2 finished with value: -1.0 and parameters: {'num_leaves': 22, 'learning_rate': 0.031611836760544416, 'feature_fraction': 0.591450061698409, 'min_data_in_leaf': 61, 'atr_multiplier': 7.051653650159882}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:36:04,912] Trial 3 finished with value: -1.0 and parameters: {'num_leaves': 24, 'learning_rate': 0.0709044960669931, 'feature_fraction': 0.8813804799263397, 'min_data_in_leaf': 49, 'atr_multiplier': 11.379864315351542}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:36:07,188] Trial 4 finished with value: -1.0 and parameters: {'num_leaves': 50, 'learning_rate': 0.04078856375414501, 'feature_fraction': 0.8638852313742349, 'min_data_in_leaf': 77, 'atr_multiplier': 10.347711786645927}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:36:09,318] Trial 5 finished with value: -1.0 and parameters: {'num_leaves': 21, 'learning_rate': 0.06297230746505071, 'feature_fraction': 0.8878491517905543, 'min_data_in_leaf': 44, 'atr_multiplier': 8.41730044155566}. Best is trial 0 with value: -1.0.
[I 2026-04-08 02:36:11,313] Trial 6 finished with value: -1.0 and parameters: {'num_leaves': 23, 'learning_rate': 0.01945541800720546, 'feature_fraction': 0.7020081628349837, 'min_data_in_leaf': 73, 'atr_multiplier': 6.659716780680379}. Best is trial 0 with value: -1.0.
